school_name,subject_desc
ANGLO-CHINESE SCHOOL (PRIMARY),HIGHER CHINESE
ANGLO-CHINESE SCHOOL (PRIMARY),HIGHER TAMIL
ANGLO-CHINESE SCHOOL (PRIMARY),MALAY
ANGLO-CHINESE SCHOOL (PRIMARY),MATHEMATICS
ANGLO-CHINESE SCHOOL (PRIMARY),MUSIC
ANGLO-CHINESE SCHOOL (PRIMARY),PHYSICAL EDUCATION
ANGLO-CHINESE SCHOOL (PRIMARY),SCIENCE
ANGLO-CHINESE SCHOOL (PRIMARY),SOCIAL STUDIES
ANGLO-CHINESE SCHOOL (PRIMARY),TAMIL
ANGSANA PRIMARY SCHOOL,ART
ANGSANA PRIMARY SCHOOL,CHINESE
ANGSANA PRIMARY SCHOOL,ENGLISH LANGUAGE
ANGSANA PRIMARY SCHOOL,FOUNDATION CHINESE
ANGSANA PRIMARY SCHOOL,FOUNDATION ENGLISH LANGUAGE
ANGSANA PRIMARY SCHOOL,FOUNDATION MALAY
ANGSANA PRIMARY SCHOOL,HIGHER CHINESE
ANGSANA PRIMARY SCHOOL,HIGHER MALAY
ANGSANA PRIMARY SCHOOL,HIGHER TAMIL
ANGSANA PRIMARY SCHOOL,MALAY
ANGSANA PRIMARY SCHOOL,MATHEMATICS
ANGSANA PRIMARY SCHOOL,MUSIC
ANGSANA PRIMARY SCHOOL,PHYSICAL EDUCATION
ANGSANA PRIMARY SCHOOL,SCIENCE
ANGSANA PRIMARY SCHOOL,SOCIAL STUDIES
ANGSANA PRIMARY SCHOOL,TAMIL
ASSUMPTION ENGLISH SCHOOL,ART
ASSUMPTION ENGLISH SCHOOL,CHINESE B
ASSUMPTION ENGLISH SCHOOL,DESIGN & TECHNOLOGY
ASSUMPTION ENGLISH SCHOOL,FOOD AND CONSUMER EDUCATION
ASSUMPTION ENGLISH SCHOOL,MALAY B
ASSUMPTION ENGLISH SCHOOL,MUSIC
ASSUMPTION ENGLISH SCHOOL,PHYSICAL EDUCATION
BARTLEY SECONDARY SCHOOL,ART
BARTLEY SECONDARY SCHOOL,CHINESE B
BARTLEY SECONDARY SCHOOL,DESIGN & TECHNOLOGY
BARTLEY SECONDARY SCHOOL,FOOD AND CONSUMER EDUCATION
BARTLEY SECONDARY SCHOOL,MALAY B
BARTLEY SECONDARY SCHOOL,MUSIC
BARTLEY SECONDARY SCHOOL,PHYSICAL EDUCATION
BARTLEY SECONDARY SCHOOL,TAMIL B
BEACON PRIMARY SCHOOL,ART
BEACON PRIMARY SCHOOL,CHINESE
BEACON PRIMARY SCHOOL,ENGLISH LANGUAGE
BEACON PRIMARY SCHOOL,FOUNDATION CHINESE
BEACON PRIMARY SCHOOL,FOUNDATION ENGLISH LANGUAGE
BEACON PRIMARY SCHOOL,FOUNDATION MALAY
BEACON PRIMARY SCHOOL,FOUNDATION TAMIL
BEACON PRIMARY SCHOOL,HIGHER CHINESE
BEACON PRIMARY SCHOOL,HIGHER MALAY
BEACON PRIMARY SCHOOL,HIGHER TAMIL
BEACON PRIMARY SCHOOL,MALAY
BEACON PRIMARY SCHOOL,MATHEMATICS
BEACON PRIMARY SCHOOL,MUSIC
BEACON PRIMARY SCHOOL,PHYSICAL EDUCATION
BEACON PRIMARY SCHOOL,SCIENCE
BEACON PRIMARY SCHOOL,SOCIAL STUDIES
BEACON PRIMARY SCHOOL,TAMIL
BEATTY SECONDARY SCHOOL,ART
BEATTY SECONDARY SCHOOL,CHINESE B
BEATTY SECONDARY SCHOOL,DESIGN & TECHNOLOGY
BEATTY SECONDARY SCHOOL,FOOD AND CONSUMER EDUCATION
BEATTY SECONDARY SCHOOL,MUSIC
BEATTY SECONDARY SCHOOL,PHYSICAL EDUCATION
BEDOK GREEN PRIMARY SCHOOL,ART
BEDOK GREEN PRIMARY SCHOOL,CHINESE
BEDOK GREEN PRIMARY SCHOOL,ENGLISH LANGUAGE
BEDOK GREEN PRIMARY SCHOOL,FOUNDATION CHINESE
BEDOK GREEN PRIMARY SCHOOL,FOUNDATION ENGLISH LANGUAGE
BEDOK GREEN PRIMARY SCHOOL,FOUNDATION MALAY
BEDOK GREEN PRIMARY SCHOOL,FOUNDATION TAMIL
BEDOK GREEN PRIMARY SCHOOL,HIGHER CHINESE
BEDOK GREEN PRIMARY SCHOOL,HIGHER MALAY
BEDOK GREEN PRIMARY SCHOOL,MALAY
BEDOK GREEN PRIMARY SCHOOL,MATHEMATICS
BEDOK GREEN PRIMARY SCHOOL,MUSIC
BEDOK GREEN PRIMARY SCHOOL,PHYSICAL EDUCATION
BEDOK GREEN PRIMARY SCHOOL,SCIENCE
BEDOK GREEN PRIMARY SCHOOL,SOCIAL STUDIES
BEDOK GREEN PRIMARY SCHOOL,TAMIL
BEDOK GREEN SECONDARY SCHOOL,ART
BEDOK GREEN SECONDARY SCHOOL,DESIGN & TECHNOLOGY
BEDOK GREEN SECONDARY SCHOOL,FOOD AND CONSUMER EDUCATION
BEDOK GREEN SECONDARY SCHOOL,MUSIC
BEDOK GREEN SECONDARY SCHOOL,PHYSICAL EDUCATION
BEDOK SOUTH SECONDARY SCHOOL,MUSIC
BEDOK SOUTH SECONDARY SCHOOL,PHYSICAL EDUCATION
BEDOK VIEW SECONDARY SCHOOL,ART
BEDOK VIEW SECONDARY SCHOOL,CHINESE B
BEDOK VIEW SECONDARY SCHOOL,DESIGN & TECHNOLOGY
BEDOK VIEW SECONDARY SCHOOL,FOOD AND CONSUMER EDUCATION
BEDOK VIEW SECONDARY SCHOOL,MUSIC
BEDOK VIEW SECONDARY SCHOOL,PHYSICAL EDUCATION
BENDEMEER PRIMARY SCHOOL,ART
BENDEMEER PRIMARY SCHOOL,CHINESE
BENDEMEER PRIMARY SCHOOL,ENGLISH LANGUAGE
BENDEMEER PRIMARY SCHOOL,FOUNDATION ENGLISH LANGUAGE
BENDEMEER PRIMARY SCHOOL,HIGHER CHINESE
BENDEMEER PRIMARY SCHOOL,HIGHER MALAY
BENDEMEER PRIMARY SCHOOL,HIGHER TAMIL
BENDEMEER PRIMARY SCHOOL,MALAY
BENDEMEER PRIMARY SCHOOL,MATHEMATICS
BENDEMEER PRIMARY SCHOOL,MUSIC
BENDEMEER PRIMARY SCHOOL,PHYSICAL EDUCATION
BENDEMEER PRIMARY SCHOOL,SCIENCE
BENDEMEER PRIMARY SCHOOL,SOCIAL STUDIES
BENDEMEER PRIMARY SCHOOL,TAMIL
BENDEMEER SECONDARY SCHOOL,ART
BENDEMEER SECONDARY SCHOOL,DESIGN & TECHNOLOGY
BENDEMEER SECONDARY SCHOOL,FOOD AND CONSUMER EDUCATION
BENDEMEER SECONDARY SCHOOL,MUSIC
BENDEMEER SECONDARY SCHOOL,PHYSICAL EDUCATION
BLANGAH RISE PRIMARY SCHOOL,ART
BLANGAH RISE PRIMARY SCHOOL,CHINESE
BLANGAH RISE PRIMARY SCHOOL,ENGLISH LANGUAGE
BLANGAH RISE PRIMARY SCHOOL,FOUNDATION CHINESE
BLANGAH RISE PRIMARY SCHOOL,FOUNDATION ENGLISH LANGUAGE
BLANGAH RISE PRIMARY SCHOOL,FOUNDATION MALAY
BLANGAH RISE PRIMARY SCHOOL,FOUNDATION TAMIL
BLANGAH RISE PRIMARY SCHOOL,HIGHER CHINESE
BLANGAH RISE PRIMARY SCHOOL,HIGHER MALAY
BLANGAH RISE PRIMARY SCHOOL,HIGHER TAMIL
BLANGAH RISE PRIMARY SCHOOL,MALAY
BLANGAH RISE PRIMARY SCHOOL,MATHEMATICS
BLANGAH RISE PRIMARY SCHOOL,MUSIC
BLANGAH RISE PRIMARY SCHOOL,PHYSICAL EDUCATION
BLANGAH RISE PRIMARY SCHOOL,SCIENCE
BLANGAH RISE PRIMARY SCHOOL,SOCIAL STUDIES
BLANGAH RISE PRIMARY SCHOOL,TAMIL
BOON LAY GARDEN PRIMARY SCHOOL,ART
BOON LAY GARDEN PRIMARY SCHOOL,CHINESE
BOON LAY GARDEN PRIMARY SCHOOL,ENGLISH LANGUAGE
BOON LAY GARDEN PRIMARY SCHOOL,FOUNDATION CHINESE
BOON LAY GARDEN PRIMARY SCHOOL,FOUNDATION ENGLISH LANGUAGE
BOON LAY GARDEN PRIMARY SCHOOL,FOUNDATION MALAY
BOON LAY GARDEN PRIMARY SCHOOL,FOUNDATION TAMIL
