school_name,year,total_vac,p1_vac,p1_appl,p1_taken,p2a_vac,p2a_appl,p2a_taken,p2b_vac,p2b_appl,p2b_taken,p2c_vac,p2c_appl,p2c_taken,p2cs_vac,p2cs_appl,p2cs_taken,p3_vac,p3_appl,p3_taken
Punggol Green Primary School,2019-01-01,250,210,136,136,74,64,0,25,3,3,51,147,51,0,0,0,0,0,0
Punggol View Primary School,2019-01-01,280,240,112,112,129,50,0,60,2,2,121,105,105,17,25,17,0,0,0
Qifa Primary School,2019-01-01,240,200,80,80,120,23,0,69,19,19,120,126,120,0,0,0,0,0,0
Qihua Primary School,2019-01-01,180,140,68,68,72,18,2,48,0,0,95,67,67,28,30,28,0,0,0
Queenstown Primary School,2019-01-01,240,200,99,99,101,21,0,60,0,0,121,132,121,0,0,0,0,0,0
Radin Mas Primary School,2019-01-01,200,160,83,83,77,51,52,33,16,16,52,86,52,0,0,0,0,0,0
Raffles Girls' Primary School,2019-01-01,270,230,63,63,167,62,78,74,24,24,123,172,123,0,0,0,0,0,0
Red Swastika School,2019-01-01,240,200,92,92,108,111,158,21,10,10,33,59,33,0,0,0,0,0,0
River Valley Primary School,2019-01-01,210,170,100,100,70,45,0,33,23,23,48,60,48,0,0,0,0,0,0
Riverside Primary School,2019-01-01,210,170,98,98,72,66,0,23,0,0,46,87,46,0,0,0,0,0,0
Rivervale Primary School,2019-01-01,240,200,99,99,101,18,0,62,17,17,107,115,107,0,0,0,0,0,0
Rosyth School,2019-01-01,270,230,143,143,88,101,130,20,28,20,20,76,20,0,0,0,0,0,0
Rulang Primary School,2019-01-01,270,230,119,119,111,107,100,22,25,22,24,84,24,0,0,0,0,0,0
Sembawang Primary School,2019-01-01,180,140,59,59,81,12,0,55,0,0,109,93,93,16,17,16,0,0,0
Seng Kang Primary School,2019-01-01,240,200,58,58,142,9,0,87,0,0,173,52,52,121,38,38,83,0,0
Sengkang Green Primary School,2019-01-01,270,230,112,112,118,73,0,43,15,15,70,147,70,0,0,0,0,0,0
Shuqun Primary School,2019-01-01,200,160,98,98,62,44,8,29,18,18,41,77,41,0,0,0,0,0,0
Si Ling Primary School,2019-01-01,150,110,37,37,73,6,0,54,0,0,108,34,34,75,22,22,53,0,0
Singapore Chinese Girls’ School (Primary),2019-01-01,192,152,51,51,101,73,122,34,31,31,37,48,37,0,0,0,0,0,0
South View Primary School,2019-01-01,270,230,105,105,125,90,42,38,23,23,52,154,52,0,0,0,0,0,0
Springdale Primary School,2019-01-01,240,200,76,76,125,60,0,53,1,1,107,106,106,1,6,1,0,0,0
St. Andrew's Junior School,2019-01-01,240,200,65,65,135,75,82,51,35,35,68,104,68,0,0,0,0,0,0
St. Anthony's Primary School,2019-01-01,210,170,77,77,93,35,20,49,25,25,74,87,74,0,0,0,0,0,0
St. Anthony's Canossian Primary School,2019-01-01,210,170,35,35,135,7,4,84,20,20,148,61,61,87,23,23,64,0,0
St. Gabriel's Primary School,2019-01-01,150,110,37,37,73,23,18,46,21,21,71,63,63,9,21,9,0,0,0
St. Hilda's Primary School,2019-01-01,270,230,94,94,136,65,84,56,45,45,68,110,68,0,0,0,0,0,0
St. Joseph's Institution Junior,2019-01-01,240,200,58,58,142,62,92,60,83,60,62,89,62,0,0,0,0,0,0
St. Margaret's Primary School,2019-01-01,192,152,37,37,115,26,18,65,22,22,108,82,82,26,35,26,0,0,0
St. Stephen's School,2019-01-01,210,170,41,41,129,22,0,74,22,22,126,68,68,58,37,37,21,0,0
Stamford Primary School,2019-01-01,150,110,23,23,87,4,0,62,0,0,124,29,29,95,6,6,89,0,0
Tampines Primary School,2019-01-01,180,140,72,72,68,18,0,46,2,2,90,94,90,0,0,0,0,0,0
Tampines North Primary School,2019-01-01,210,170,60,60,110,9,0,71,0,0,141,76,76,65,33,33,32,0,0
Tanjong Katong Primary School,2019-01-01,200,160,72,72,88,30,0,49,4,4,95,107,95,0,0,0,0,0,0
Tao Nan School,2019-01-01,360,320,159,159,161,134,220,35,36,35,36,62,36,0,0,0,0,0,0
Teck Ghee Primary School,2019-01-01,180,140,65,65,75,23,0,47,11,11,83,86,83,0,0,0,0,0,0
Teck Whye Primary School,2019-01-01,210,170,56,56,114,8,0,73,0,0,146,14,14,132,28,28,104,0,0
Telok Kurau Primary School,2019-01-01,210,170,66,66,104,13,0,67,0,0,134,63,63,71,6,6,65,0,0
Temasek Primary School,2019-01-01,200,160,103,103,57,57,50,20,27,20,21,55,21,0,0,0,0,0,0
Townsville Primary School,2019-01-01,180,140,60,60,80,8,0,57,0,0,114,43,43,71,31,31,40,0,0
Unity Primary School,2019-01-01,210,170,89,89,81,13,0,54,0,0,108,61,61,47,5,5,42,0,0
Valour Primary School,2019-01-01,220,180,0,0,180,0,0,110,3,3,217,149,149,68,69,68,0,0,0
Waterway Primary School,2019-01-01,280,240,88,88,152,28,0,83,0,0,165,140,140,25,25,25,0,0,0
Wellington Primary School,2019-01-01,240,200,65,65,135,5,0,85,0,0,170,131,131,39,17,17,22,0,0
West Grove Primary School,2019-01-01,180,140,88,88,52,13,0,40,17,17,63,74,63,0,0,0,0,0,0
West Spring Primary School,2019-01-01,210,170,107,107,63,57,0,23,18,18,31,105,31,0,0,0,0,0,0
West View Primary School,2019-01-01,180,140,47,47,93,6,0,64,0,0,127,53,53,74,10,10,64,0,0
Westwood Primary School,2019-01-01,210,170,90,90,80,62,0,29,12,12,47,80,47,0,0,0,0,0,0
White Sands Primary School,2019-01-01,180,140,90,90,50,11,0,40,19,19,61,84,61,0,0,0,0,0,0
Woodgrove Primary School,2019-01-01,180,140,84,84,56,14,0,41,6,6,76,94,76,0,0,0,0,0,0
Woodlands Primary School,2019-01-01,210,170,103,103,67,30,0,39,5,5,74,80,74,0,0,0,0,0,0
Woodlands Ring Primary School,2019-01-01,210,170,68,68,102,21,2,61,2,2,119,85,85,35,40,35,0,0,0
Xinghua Primary School,2019-01-01,180,140,46,46,94,8,0,63,0,0,126,36,36,90,28,28,62,0,0
Xingnan Primary School,2019-01-01,150,110,53,53,57,24,4,37,4,4,72,63,63,9,10,9,0,0,0
Xinmin Primary School,2019-01-01,210,170,75,75,95,40,0,48,11,11,85,98,85,0,0,0,0,0,0
Xishan Primary School,2019-01-01,240,200,62,62,138,13,0,83,3,3,162,59,59,103,69,69,34,0,0
Yangzheng Primary School,2019-01-01,180,140,70,70,70,23,10,44,11,11,78,86,78,0,0,0,0,0,0
Yew Tee Primary School,2019-01-01,180,140,62,62,78,8,0,55,4,4,106,58,58,48,38,38,10,0,0
Yio Chu Kang Primary School,2019-01-01,180,140,41,41,99,9,0,65,0,0,130,27,27,103,31,31,72,0,0
Yishun Primary School,2019-01-01,200,160,74,74,86,17,0,55,0,0,111,46,46,65,53,53,12,0,0
Yu Neng Primary School,2019-01-01,180,140,77,77,63,53,34,25,12,12,40,59,40,0,0,0,0,0,0
Yuhua Primary School,2019-01-01,180,140,40,40,100,10,0,65,0,0,130,34,34,96,28,28,68,0,0
Yumin Primary School,2019-01-01,150,110,42,42,68,17,0,46,0,0,93,30,30,63,44,44,19,0,0
Zhangde Primary School,2019-01-01,210,170,75,75,96,12,0,62,1,1,124,124,124,0,0,0,0,0,0
Zhenghua Primary School,2019-01-01,210,170,85,85,85,23,0,51,2,2,100,76,76,24,19,19,5,0,0
Zhonghua Primary School,2019-01-01,120,80,26,26,54,1,0,47,1,1,93,13,13,80,19,19,61,0,0
