school_name,address,postal_code,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind
Yangzheng Primary School,15   Serangoon Avenue 3,556108,Serangoon,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Yew Tee Primary School,10   Choa Chu Kang St 64,689100,Choa Chu Kang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Yio Chu Kang Primary School,1    Hougang Street 51,538720,Hougang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Yishun Primary School,500  Yishun Ring Road,768679,Yishun,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Yu Neng Primary School,56   Bedok North St 3,469623,Bedok,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Yuhua Primary School,158  Jurong East Street 24,609558,Jurong East,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Yumin Primary School,3    Tampines Street 21,529393,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Zhangde Primary School,51   Jalan Membina,169485,Bukit Merah,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Zhenghua Primary School,9    Fajar Road,679002,Bukit Panjang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
Zhonghua Primary School,12   Serangoon Avenue 4,556095,Serangoon,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No
